Élément statistique;1er niveau de détail;Temps;Unité de mesure;Valeur numérique;Note
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);sept-18;M$ enchaînés de 2012;70390.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);oct-18;M$ enchaînés de 2012;70820.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);nov-18;M$ enchaînés de 2012;71726;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);déc-18;M$ enchaînés de 2012;72531.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);janv-19;M$ enchaînés de 2012;71998.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);févr-19;M$ enchaînés de 2012;71950.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);mars-19;M$ enchaînés de 2012;73098.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);avr-19;M$ enchaînés de 2012;72541.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);mai-19;M$ enchaînés de 2012;73113.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);juin-19;M$ enchaînés de 2012;71880.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);juil-19;M$ enchaînés de 2012;72114;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);août-19;M$ enchaînés de 2012;72090.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);sept-19;M$ enchaînés de 2012;70693.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);oct-19;M$ enchaînés de 2012;71647.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);nov-19;M$ enchaînés de 2012;71725.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);déc-19;M$ enchaînés de 2012;70784.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);janv-20;M$ enchaînés de 2012;70732.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);févr-20;M$ enchaînés de 2012;69238;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);mars-20;M$ enchaînés de 2012;63548.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);avr-20;M$ enchaînés de 2012;53537;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);mai-20;M$ enchaînés de 2012;61370.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);juin-20;M$ enchaînés de 2012;64754.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);juil-20;M$ enchaînés de 2012;66284.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);août-20;M$ enchaînés de 2012;67411.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);sept-20;M$ enchaînés de 2012;68226.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);oct-20;M$ enchaînés de 2012;67500.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);nov-20;M$ enchaînés de 2012;68119.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);déc-20;M$ enchaînés de 2012;68619.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);janv-21;M$ enchaînés de 2012;68632.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);févr-21;M$ enchaînés de 2012;67954.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);mars-21;M$ enchaînés de 2012;68929.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);avr-21;M$ enchaînés de 2012;67426.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);mai-21;M$ enchaînés de 2012;66733.1;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);juin-21;M$ enchaînés de 2012;68388.4;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);juil-21;M$ enchaînés de 2012;67790.7;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);août-21;M$ enchaînés de 2012;69962.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);sept-21;M$ enchaînés de 2012;68196.9;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);oct-21;M$ enchaînés de 2012;67906.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Production industrielle (21. 22. 31 à 33. 562);nov-21;M$ enchaînés de 2012;68561.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);janv-17;M$ enchaînés de 2012;20206.2;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);févr-17;M$ enchaînés de 2012;20228.5;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);mars-17;M$ enchaînés de 2012;20306.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);avr-17;M$ enchaînés de 2012;20380.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);mai-17;M$ enchaînés de 2012;20206.3;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);juin-17;M$ enchaînés de 2012;20314.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);juil-17;M$ enchaînés de 2012;20639.8;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);août-17;M$ enchaînés de 2012;20252.6;
Produit intérieur brut réel aux prix de base. désaisonnalisé ;.Fabrication de biens non durables (311 à 316. 322 à 326);sept-17;M$ enchaînés de 2012;20152.5;
